# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.9746
# k_min, k_max      =     0.0000    3.5668
# E_min, E_max      =   -63.2851  169.1065
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -63.285100
      0.004167    -63.285100
      0.008333    -63.285100
      0.012500    -63.285100
      0.016666    -63.285100
      0.020833    -63.285100
      0.024999    -63.285100
      0.029166    -63.285100
      0.033333    -63.285100
      0.037499    -63.285100
      0.041666    -63.285100
      0.045832    -63.285100
      0.049999    -63.285100
      0.054165    -63.285100
      0.058332    -63.285100
      0.062498    -63.285100
      0.066665    -63.285000
      0.070832    -63.285000
      0.074998    -63.285000
      0.079165    -63.285000
      0.083331    -63.285000
      0.087498    -63.285000
      0.091664    -63.285000
      0.095831    -63.285000
      0.099998    -63.285000
      0.104164    -63.285000
      0.108331    -63.285000
      0.112497    -63.284900
      0.116664    -63.284900
      0.120830    -63.284900
      0.124997    -63.284900
      0.129163    -63.284900
      0.133330    -63.284900
      0.137497    -63.284900
      0.141663    -63.284900
      0.145830    -63.284900
      0.149996    -63.284800
      0.154163    -63.284800
      0.158329    -63.284800
      0.162496    -63.284800
      0.166663    -63.284800
      0.170829    -63.284800
      0.174996    -63.284800
      0.179162    -63.284700
      0.183329    -63.284700
      0.187495    -63.284700
      0.191662    -63.284700
      0.195828    -63.284700
      0.199995    -63.284700
      0.204162    -63.284700
      0.208328    -63.284600
      0.212495    -63.284600
      0.216661    -63.284600
      0.220828    -63.284600
      0.224994    -63.284600
      0.229161    -63.284600
      0.233328    -63.284500
      0.237494    -63.284500
      0.241661    -63.284500
      0.245827    -63.284500
      0.249994    -63.284500
      0.254160    -63.284500
      0.258327    -63.284500
      0.262493    -63.284400
      0.266660    -63.284400
      0.270827    -63.284400
      0.274993    -63.284400
      0.279160    -63.284400
      0.283326    -63.284400
      0.287493    -63.284400
      0.291659    -63.284300
      0.295826    -63.284300
      0.299993    -63.284300
      0.304159    -63.284300
      0.308326    -63.284300
      0.312492    -63.284300
      0.316659    -63.284300
      0.320825    -63.284300
      0.324992    -63.284200
      0.329158    -63.284200
      0.333325    -63.284200
      0.337492    -63.284200
      0.341658    -63.284200
      0.345825    -63.284200
      0.349991    -63.284200
      0.354158    -63.284200
      0.358324    -63.284200
      0.362491    -63.284200
      0.366658    -63.284200
      0.370824    -63.284200
      0.374991    -63.284200
      0.379157    -63.284100
      0.383324    -63.284100
      0.387490    -63.284100
      0.391657    -63.284100
      0.395823    -63.284100
      0.399990    -63.284100
      0.404157    -63.284100
      0.408323    -63.284100
      0.412490    -63.284100
      0.416656    -63.284100
      0.420823    -63.284100
      0.424989    -63.284100
      0.429156    -63.284100
      0.433323    -63.284100
      0.437489    -63.284100
      0.441656    -63.284100
      0.445822    -63.284100
      0.449989    -63.284100
      0.454155    -63.284100
      0.458322    -63.284100
      0.462488    -63.284100
      0.466655    -63.284100
      0.470822    -63.284100
      0.474988    -63.284100
      0.479155    -63.284100
      0.483321    -63.284100
      0.487488    -63.284000
      0.491654    -63.284000
      0.495821    -63.284000
      0.499988    -63.284000
      0.504154    -63.284000
      0.508321    -63.284000
      0.512487    -63.284000
      0.516654    -63.284000
      0.520820    -63.284000
      0.524987    -63.283900
      0.529153    -63.283900
      0.533320    -63.283900
      0.537487    -63.283900
      0.541653    -63.283900
      0.545820    -63.283900
      0.549986    -63.283900
      0.554153    -63.283800
      0.558319    -63.283800
      0.562486    -63.283800
      0.566653    -63.283800
      0.570819    -63.283800
      0.574986    -63.283800
      0.579152    -63.283700
      0.583319    -63.283700
      0.587485    -63.283700
      0.591652    -63.283700
      0.595818    -63.283700
      0.599985    -63.283700
