# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -6.5691
# k_min, k_max      =     0.0000    3.9631
# E_min, E_max      =   -62.8095  256.3186
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.809500
      0.004630    -62.809500
      0.009259    -62.809500
      0.013889    -62.809500
      0.018518    -62.809500
      0.023148    -62.809400
      0.027777    -62.809400
      0.032407    -62.809400
      0.037036    -62.809400
      0.041666    -62.809300
      0.046295    -62.809300
      0.050925    -62.809300
      0.055554    -62.809200
      0.060184    -62.809200
      0.064813    -62.809100
      0.069443    -62.809100
      0.074072    -62.809000
      0.078702    -62.809000
      0.083331    -62.808900
      0.087961    -62.808800
      0.092590    -62.808800
      0.097220    -62.808700
      0.101849    -62.808600
      0.106479    -62.808500
      0.111108    -62.808500
      0.115738    -62.808400
      0.120367    -62.808300
      0.124997    -62.808200
      0.129626    -62.808100
      0.134256    -62.808000
      0.138885    -62.807900
      0.143515    -62.807800
      0.148144    -62.807700
      0.152774    -62.807600
      0.157403    -62.807500
      0.162033    -62.807400
      0.166663    -62.807300
      0.171292    -62.807200
      0.175922    -62.807100
      0.180551    -62.807000
      0.185181    -62.806900
      0.189810    -62.806700
      0.194440    -62.806600
      0.199069    -62.806500
      0.203699    -62.806400
      0.208328    -62.806300
      0.212958    -62.806200
      0.217587    -62.806000
      0.222217    -62.805900
      0.226846    -62.805800
      0.231476    -62.805700
      0.236105    -62.805600
      0.240735    -62.805500
      0.245364    -62.805300
      0.249994    -62.805200
      0.254623    -62.805100
      0.259253    -62.805000
      0.263882    -62.804900
      0.268512    -62.804800
      0.273141    -62.804700
      0.277771    -62.804500
      0.282400    -62.804400
      0.287030    -62.804300
      0.291659    -62.804200
      0.296289    -62.804100
      0.300918    -62.804000
      0.305548    -62.803900
      0.310177    -62.803800
      0.314807    -62.803700
      0.319436    -62.803600
      0.324066    -62.803500
      0.328696    -62.803500
      0.333325    -62.803400
      0.337955    -62.803300
      0.342584    -62.803200
      0.347214    -62.803100
      0.351843    -62.803000
      0.356473    -62.803000
      0.361102    -62.802900
      0.365732    -62.802800
      0.370361    -62.802800
      0.374991    -62.802700
      0.379620    -62.802700
      0.384250    -62.802600
      0.388879    -62.802500
      0.393509    -62.802500
      0.398138    -62.802400
      0.402768    -62.802400
      0.407397    -62.802400
      0.412027    -62.802300
      0.416656    -62.802300
      0.421286    -62.802300
      0.425915    -62.802200
      0.430545    -62.802200
      0.435174    -62.802200
      0.439804    -62.802200
      0.444433    -62.802200
      0.449063    -62.802100
      0.453692    -62.802100
      0.458322    -62.802100
      0.462951    -62.802100
      0.467581    -62.802100
      0.472210    -62.802100
      0.476840    -62.802100
      0.481469    -62.802100
      0.486099    -62.802100
      0.490729    -62.802100
      0.495358    -62.802000
      0.499988    -62.802000
      0.504617    -62.802000
      0.509247    -62.801900
      0.513876    -62.801900
      0.518506    -62.801900
      0.523135    -62.801800
      0.527765    -62.801800
      0.532394    -62.801700
      0.537024    -62.801700
      0.541653    -62.801600
      0.546283    -62.801500
      0.550912    -62.801500
      0.555542    -62.801400
      0.560171    -62.801300
      0.564801    -62.801300
      0.569430    -62.801200
      0.574060    -62.801100
      0.578689    -62.801000
      0.583319    -62.800900
      0.587948    -62.800900
      0.592578    -62.800800
      0.597207    -62.800700
      0.601837    -62.800600
      0.606466    -62.800500
      0.611096    -62.800400
      0.615725    -62.800300
      0.620355    -62.800200
      0.624984    -62.800100
      0.629614    -62.800000
      0.634243    -62.799900
      0.638873    -62.799800
      0.643502    -62.799700
      0.648132    -62.799600
      0.652762    -62.799500
      0.657391    -62.799300
      0.662021    -62.799200
      0.666650    -62.799100
      0.671280    -62.799000
      0.675909    -62.798900
      0.680539    -62.798800
      0.685168    -62.798700
      0.689798    -62.798600
      0.694427    -62.798400
      0.699057    -62.798300
      0.703686    -62.798200
      0.708316    -62.798100
      0.712945    -62.798000
      0.717575    -62.797900
      0.722204    -62.797800
      0.726834    -62.797700
      0.731463    -62.797600
      0.736093    -62.797400
      0.740722    -62.797300
      0.745352    -62.797200
      0.749981    -62.797100
      0.754611    -62.797000
      0.759240    -62.796900
      0.763870    -62.796800
      0.768499    -62.796700
      0.773129    -62.796600
      0.777758    -62.796500
      0.782388    -62.796400
      0.787017    -62.796400
      0.791647    -62.796300
      0.796276    -62.796200
      0.800906    -62.796100
      0.805535    -62.796000
      0.810165    -62.795900
      0.814795    -62.795900
      0.819424    -62.795800
      0.824054    -62.795700
      0.828683    -62.795600
      0.833313    -62.795600
      0.837942    -62.795500
      0.842572    -62.795500
      0.847201    -62.795400
      0.851831    -62.795400
      0.856460    -62.795300
      0.861090    -62.795300
      0.865719    -62.795200
      0.870349    -62.795200
      0.874978    -62.795100
      0.879608    -62.795100
      0.884237    -62.795100
      0.888867    -62.795000
      0.893496    -62.795000
      0.898126    -62.795000
      0.902755    -62.795000
      0.907385    -62.795000
      0.912014    -62.795000
      0.916644    -62.794900
      0.921273    -62.794900
      0.925903    -62.794900
      0.930532    -62.794900
      0.935162    -62.794900
