# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.5260
# k_min, k_max      =     0.0000    3.6957
# E_min, E_max      =   -62.6616  208.9310
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.661600
      0.004317    -62.661600
      0.008634    -62.661600
      0.012952    -62.661600
      0.017269    -62.661600
      0.021586    -62.661600
      0.025903    -62.661600
      0.030220    -62.661600
      0.034537    -62.661600
      0.038855    -62.661600
      0.043172    -62.661600
      0.047489    -62.661600
      0.051806    -62.661500
      0.056123    -62.661500
      0.060440    -62.661500
      0.064758    -62.661500
      0.069075    -62.661500
      0.073392    -62.661500
      0.077709    -62.661500
      0.082026    -62.661500
      0.086343    -62.661500
      0.090661    -62.661400
      0.094978    -62.661400
      0.099295    -62.661400
      0.103612    -62.661400
      0.107929    -62.661400
      0.112247    -62.661400
      0.116564    -62.661400
      0.120881    -62.661300
      0.125198    -62.661300
      0.129515    -62.661300
      0.133832    -62.661300
      0.138150    -62.661300
      0.142467    -62.661200
      0.146784    -62.661200
      0.151101    -62.661200
      0.155418    -62.661200
      0.159735    -62.661100
      0.164053    -62.661100
      0.168370    -62.661100
      0.172687    -62.661100
      0.177004    -62.661000
      0.181321    -62.661000
      0.185638    -62.661000
      0.189956    -62.661000
      0.194273    -62.660900
      0.198590    -62.660900
      0.202907    -62.660900
      0.207224    -62.660800
      0.211542    -62.660800
      0.215859    -62.660800
      0.220176    -62.660800
      0.224493    -62.660700
      0.228810    -62.660700
      0.233127    -62.660700
      0.237445    -62.660600
      0.241762    -62.660600
      0.246079    -62.660600
      0.250396    -62.660600
      0.254713    -62.660500
      0.259030    -62.660500
      0.263348    -62.660500
      0.267665    -62.660400
      0.271982    -62.660400
      0.276299    -62.660400
      0.280616    -62.660400
      0.284933    -62.660300
      0.289251    -62.660300
      0.293568    -62.660300
      0.297885    -62.660300
      0.302202    -62.660200
      0.306519    -62.660200
      0.310837    -62.660200
      0.315154    -62.660200
      0.319471    -62.660100
      0.323788    -62.660100
      0.328105    -62.660100
      0.332422    -62.660100
      0.336740    -62.660000
      0.341057    -62.660000
      0.345374    -62.660000
      0.349691    -62.660000
      0.354008    -62.660000
      0.358325    -62.660000
      0.362643    -62.659900
      0.366960    -62.659900
      0.371277    -62.659900
      0.375594    -62.659900
