# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.8808
# k_min, k_max      =     0.0000    3.8389
# E_min, E_max      =   -62.5511  256.4974
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      1.130084    -62.541200
      1.134569    -62.541200
      1.139053    -62.541100
      1.143538    -62.541100
      1.148022    -62.541000
      1.152506    -62.540900
      1.156991    -62.540900
      1.161475    -62.540800
      1.165960    -62.540800
      1.170444    -62.540700
      1.174929    -62.540700
      1.179413    -62.540600
      1.183898    -62.540600
      1.188382    -62.540500
      1.192867    -62.540400
      1.197351    -62.540400
      1.201836    -62.540300
      1.206320    -62.540300
      1.210804    -62.540200
      1.215289    -62.540200
      1.219773    -62.540200
      1.224258    -62.540100
      1.228742    -62.540100
      1.233227    -62.540000
      1.237711    -62.540000
      1.242196    -62.539900
      1.246680    -62.539900
      1.251165    -62.539900
      1.255649    -62.539800
      1.260134    -62.539800
      1.264618    -62.539800
      1.269102    -62.539700
      1.273587    -62.539700
      1.278071    -62.539700
      1.282556    -62.539700
      1.287040    -62.539600
      1.291525    -62.539600
      1.296009    -62.539600
      1.300494    -62.539600
      1.304978    -62.539600
      1.309463    -62.539600
      1.313947    -62.539500
      1.318432    -62.539500
      1.322916    -62.539500
      1.327400    -62.539500
      1.331885    -62.539500
      1.336369    -62.539500
      1.340854    -62.539500
      1.345338    -62.539500
      1.349828    -62.539500
      1.354318    -62.539500
      1.358808    -62.539500
      1.363297    -62.539500
      1.367787    -62.539500
      1.372277    -62.539500
      1.376767    -62.539500
      1.381256    -62.539600
      1.385746    -62.539600
      1.390236    -62.539600
      1.394726    -62.539600
      1.399216    -62.539600
      1.403705    -62.539600
      1.408195    -62.539700
      1.412685    -62.539700
      1.417175    -62.539700
      1.421664    -62.539800
      1.426154    -62.539800
      1.430644    -62.539800
      1.435134    -62.539800
      1.439624    -62.539900
      1.444113    -62.539900
      1.448603    -62.540000
      1.453093    -62.540000
      1.457583    -62.540000
      1.462072    -62.540100
      1.466562    -62.540100
      1.471052    -62.540200
      1.475542    -62.540200
      1.480032    -62.540300
      1.484521    -62.540300
      1.489011    -62.540400
      1.493501    -62.540500
      1.497991    -62.540500
      1.502480    -62.540600
      1.506970    -62.540600
      1.511460    -62.540700
      1.515950    -62.540800
      1.520440    -62.540800
      1.524929    -62.540900
      1.529419    -62.541000
      1.533909    -62.541100
      1.538399    -62.541100
      1.542888    -62.541200
      1.547378    -62.541300
      1.551868    -62.541400
      1.556358    -62.541500
      1.560848    -62.541500
      1.565337    -62.541600
      1.569827    -62.541700
      1.574317    -62.541800
      1.578807    -62.541900
      1.583296    -62.542000
      1.587786    -62.542100
      1.592276    -62.542200
      1.596766    -62.542300
      1.601256    -62.542400
      1.605745    -62.542500
      1.610235    -62.542600
      1.614725    -62.542700
      1.619215    -62.542800
      1.623704    -62.542900
      1.628194    -62.543000
      1.632684    -62.543100
      1.637174    -62.543200
      1.641664    -62.543300
      1.646153    -62.543400
      1.650643    -62.543500
      1.655133    -62.543600
      1.659623    -62.543700
      1.664112    -62.543800
      1.668602    -62.543900
      1.673092    -62.544000
      1.677582    -62.544100
      1.682072    -62.544300
      1.686561    -62.544400
      1.691051    -62.544500
      1.695541    -62.544600
      1.700031    -62.544700
      1.704520    -62.544800
      1.709010    -62.544900
      1.713500    -62.545000
      1.717990    -62.545100
      1.722480    -62.545200
      1.726969    -62.545400
      1.731459    -62.545500
      1.735949    -62.545600
      1.740439    -62.545700
      1.744928    -62.545800
      1.749418    -62.545900
      1.753908    -62.546000
      1.758398    -62.546100
      1.762888    -62.546200
      1.767377    -62.546300
      1.771867    -62.546400
      1.776357    -62.546500
      1.780847    -62.546600
      1.785336    -62.546700
      1.789826    -62.546800
      1.794316    -62.546900
      1.798806    -62.547000
      1.803296    -62.547100
      1.807785    -62.547200
      1.812275    -62.547300
      1.816765    -62.547400
      1.821255    -62.547500
      1.825744    -62.547600
      1.830234    -62.547700
      1.834724    -62.547800
      1.839214    -62.547900
      1.843704    -62.548000
      1.848193    -62.548100
      1.852683    -62.548100
      1.857173    -62.548200
      1.861663    -62.548300
      1.866152    -62.548400
      1.870642    -62.548500
      1.875132    -62.548500
      1.879622    -62.548600
      1.884112    -62.548700
      1.888601    -62.548800
      1.893091    -62.548900
      1.897581    -62.548900
      1.902071    -62.549000
      1.906560    -62.549100
      1.911050    -62.549200
      1.915540    -62.549200
      1.920030    -62.549300
      1.924520    -62.549400
      1.929009    -62.549400
      1.933499    -62.549500
      1.937989    -62.549600
      1.942479    -62.549600
      1.946968    -62.549700
      1.951458    -62.549800
      1.955948    -62.549800
      1.960438    -62.549900
      1.964928    -62.549900
      1.969417    -62.550000
      1.973907    -62.550100
      1.978397    -62.550100
      1.982887    -62.550200
      1.987376    -62.550200
      1.991866    -62.550300
      1.996356    -62.550300
      2.000846    -62.550400
      2.005336    -62.550400
      2.009825    -62.550500
      2.014315    -62.550500
      2.018805    -62.550600
      2.023295    -62.550600
      2.027784    -62.550600
      2.032274    -62.550700
      2.036764    -62.550700
      2.041254    -62.550700
      2.045743    -62.550800
      2.050233    -62.550800
      2.054723    -62.550800
      2.059213    -62.550900
      2.063703    -62.550900
      2.068192    -62.550900
      2.072682    -62.550900
      2.077172    -62.551000
      2.081662    -62.551000
      2.086151    -62.551000
      2.090641    -62.551000
      2.095131    -62.551000
      2.099621    -62.551000
      2.104111    -62.551000
      2.108600    -62.551000
      2.113090    -62.551100
      2.117580    -62.551100
      2.122070    -62.551100
      2.126568    -62.551100
      2.131065    -62.551100
      2.135563    -62.551000
      2.140061    -62.551000
      2.144559    -62.551000
      2.149057    -62.551000
      2.153555    -62.551000
      2.158053    -62.551000
      2.162550    -62.551000
      2.167048    -62.551000
      2.171546    -62.550900
      2.176044    -62.550900
      2.180542    -62.550900
      2.185040    -62.550900
      2.189538    -62.550800
      2.194035    -62.550800
      2.198533    -62.550800
      2.203031    -62.550700
      2.207529    -62.550700
      2.212027    -62.550700
      2.216525    -62.550600
      2.221023    -62.550600
      2.225521    -62.550600
      2.230018    -62.550500
      2.234516    -62.550500
      2.239014    -62.550400
      2.243512    -62.550400
      2.248010    -62.550300
      2.252508    -62.550300
      2.257006    -62.550200
      2.261503    -62.550200
      2.266001    -62.550100
      2.270499    -62.550100
      2.274997    -62.550000
      2.279495    -62.550000
      2.283993    -62.549900
      2.288491    -62.549800
      2.292988    -62.549800
      2.297486    -62.549700
      2.301984    -62.549700
      2.306482    -62.549600
      2.310980    -62.549500
      2.315478    -62.549500
      2.319976    -62.549400
      2.324473    -62.549300
      2.328971    -62.549300
      2.333469    -62.549200
      2.337967    -62.549100
      2.342465    -62.549100
      2.346963    -62.549000
      2.351461    -62.548900
      2.355959    -62.548900
      2.360456    -62.548800
      2.364954    -62.548700
      2.369452    -62.548600
      2.373950    -62.548600
      2.378448    -62.548500
      2.382946    -62.548400
      2.387444    -62.548300
      2.391941    -62.548300
      2.396439    -62.548200
      2.400937    -62.548100
      2.405435    -62.548000
      2.409933    -62.548000
      2.414431    -62.547900
      2.418929    -62.547800
      2.423426    -62.547700
      2.427924    -62.547600
      2.432422    -62.547600
      2.436920    -62.547500
      2.441418    -62.547400
      2.445916    -62.547300
      2.450414    -62.547200
      2.454911    -62.547100
      2.459409    -62.547100
      2.463907    -62.547000
      2.468405    -62.546900
      2.472903    -62.546800
      2.477401    -62.546700
      2.481899    -62.546600
      2.486397    -62.546500
      2.490894    -62.546500
      2.495392    -62.546400
      2.499890    -62.546300
      2.504388    -62.546200
      2.508886    -62.546100
      2.513384    -62.546000
      2.517882    -62.546000
      2.522379    -62.545900
      2.526877    -62.545800
      2.531375    -62.545700
      2.535873    -62.545600
      2.540371    -62.545500
