# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -6.2546
# k_min, k_max      =     0.0000    4.0522
# E_min, E_max      =   -62.3496  243.5213
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.349600
      0.004734    -62.349600
      0.009467    -62.349600
      0.014201    -62.349600
      0.018934    -62.349600
      0.023668    -62.349500
      0.028402    -62.349500
      0.033135    -62.349500
      0.037869    -62.349400
      0.042602    -62.349400
      0.047336    -62.349400
      0.052070    -62.349300
      0.056803    -62.349300
      0.061537    -62.349200
      0.066270    -62.349100
      0.071004    -62.349100
      0.075738    -62.349000
      0.080471    -62.348900
      0.085205    -62.348800
      0.089938    -62.348700
      0.094672    -62.348600
      0.099406    -62.348600
      0.104139    -62.348500
      0.108873    -62.348300
      0.113606    -62.348200
      0.118340    -62.348100
      0.123074    -62.348000
      0.127807    -62.347900
      0.132541    -62.347800
      0.137274    -62.347700
      0.142008    -62.347500
      0.146742    -62.347400
      0.151475    -62.347300
      0.156209    -62.347100
      0.160942    -62.347000
      0.165676    -62.346900
      0.170410    -62.346700
      0.175143    -62.346600
      0.179877    -62.346400
      0.184610    -62.346300
      0.189344    -62.346100
      0.194078    -62.346000
      0.198811    -62.345800
      0.203545    -62.345700
      0.208278    -62.345500
      0.213012    -62.345400
      0.217746    -62.345200
      0.222479    -62.345100
      0.227213    -62.344900
      0.231946    -62.344800
      0.236680    -62.344600
      0.241414    -62.344500
      0.246147    -62.344300
      0.250881    -62.344200
      0.255614    -62.344000
      0.260348    -62.343900
      0.265081    -62.343700
      0.269815    -62.343600
      0.274549    -62.343400
      0.279282    -62.343300
      0.284016    -62.343200
      0.288749    -62.343000
      0.293483    -62.342900
      0.298217    -62.342700
      0.302950    -62.342600
      0.307684    -62.342500
      0.312417    -62.342300
      0.317151    -62.342200
      0.321885    -62.342100
      0.326618    -62.342000
      0.331352    -62.341900
      0.336085    -62.341700
      0.340819    -62.341600
      0.345553    -62.341500
      0.350286    -62.341400
      0.355020    -62.341300
      0.359753    -62.341200
      0.364487    -62.341100
      0.369221    -62.341000
      0.373954    -62.340900
      0.378688    -62.340800
      0.383421    -62.340700
      0.388155    -62.340700
      0.392889    -62.340600
      0.397622    -62.340500
      0.402356    -62.340400
      0.407089    -62.340400
      0.411823    -62.340300
      0.416557    -62.340300
      0.421290    -62.340200
      0.426024    -62.340200
      0.430757    -62.340100
      0.435491    -62.340100
      0.440225    -62.340000
      0.444958    -62.340000
      0.449692    -62.340000
      0.454425    -62.340000
      0.459159    -62.339900
      0.463893    -62.339900
      0.468626    -62.339900
      0.473360    -62.339900
      0.478093    -62.339900
      0.482827    -62.339900
      0.487561    -62.339900
      0.492294    -62.339900
      0.497028    -62.339900
      0.501761    -62.339800
      0.506495    -62.339800
      0.511229    -62.339800
      0.515962    -62.339700
      0.520696    -62.339700
      0.525429    -62.339600
      0.530163    -62.339600
      0.534897    -62.339500
      0.539630    -62.339400
      0.544364    -62.339400
      0.549097    -62.339300
      0.553831    -62.339200
      0.558565    -62.339100
      0.563298    -62.339000
      0.568032    -62.339000
      0.572765    -62.338900
      0.577499    -62.338800
      0.582233    -62.338700
      0.586966    -62.338600
      0.591700    -62.338400
      0.596433    -62.338300
      0.601167    -62.338200
      0.605901    -62.338100
      0.610634    -62.338000
      0.615368    -62.337800
      0.620101    -62.337700
      0.624835    -62.337600
      0.629569    -62.337500
      0.634302    -62.337300
      0.639036    -62.337200
      0.643769    -62.337000
      0.648503    -62.336900
      0.653237    -62.336800
      0.657970    -62.336600
      0.662704    -62.336500
      0.667437    -62.336300
      0.672171    -62.336200
      0.676905    -62.336000
      0.681638    -62.335800
      0.686372    -62.335700
      0.691105    -62.335500
      0.695839    -62.335400
      0.700573    -62.335200
      0.705306    -62.335100
      0.710040    -62.334900
      0.714773    -62.334800
      0.719507    -62.334600
      0.724241    -62.334400
      0.728974    -62.334300
      0.733708    -62.334100
      0.738441    -62.334000
      0.743175    -62.333800
      0.747908    -62.333700
      0.752642    -62.333500
      0.757376    -62.333400
      0.762109    -62.333200
      0.766843    -62.333100
      0.771576    -62.332900
      0.776310    -62.332800
      0.781044    -62.332600
      0.785777    -62.332500
      0.790511    -62.332400
      0.795244    -62.332200
      0.799978    -62.332100
      0.804712    -62.332000
      0.809445    -62.331800
      0.814179    -62.331700
      0.818912    -62.331600
      0.823646    -62.331500
      0.828380    -62.331400
      0.833113    -62.331200
      0.837847    -62.331100
      0.842580    -62.331000
      0.847314    -62.330900
      0.852048    -62.330800
      0.856781    -62.330700
      0.861515    -62.330700
      0.866248    -62.330600
      0.870982    -62.330500
      0.875716    -62.330400
      0.880449    -62.330300
      0.885183    -62.330300
      0.889916    -62.330200
      0.894650    -62.330200
      0.899384    -62.330100
      0.904117    -62.330100
      0.908851    -62.330000
      0.913584    -62.330000
      0.918318    -62.330000
      0.923052    -62.329900
      0.927785    -62.329900
      0.932519    -62.329900
      0.937252    -62.329900
      0.941986    -62.329900
      0.946720    -62.329900
      0.951453    -62.329900
      0.956187    -62.329900
      0.960920    -62.329800
      0.965654    -62.329800
      0.970388    -62.329800
      0.975121    -62.329800
      0.979855    -62.329700
      0.984588    -62.329700
      0.989322    -62.329700
      0.994056    -62.329600
      0.998789    -62.329600
      1.003523    -62.329500
      1.008256    -62.329400
      1.012990    -62.329400
      1.017724    -62.329300
      1.022457    -62.329200
      1.027191    -62.329200
      1.031924    -62.329100
      1.036658    -62.329000
      1.041392    -62.328900
      1.046125    -62.328800
      1.050859    -62.328700
      1.055592    -62.328600
      1.060326    -62.328500
      1.065060    -62.328400
      1.069793    -62.328300
      1.074527    -62.328200
      1.079260    -62.328100
      1.083994    -62.328000
      1.088728    -62.327800
      1.093461    -62.327700
      1.098195    -62.327600
      1.102928    -62.327500
      1.107662    -62.327300
      1.112396    -62.327200
      1.117129    -62.327100
      1.121863    -62.327000
      1.126596    -62.326800
      1.131330    -62.326700
      1.136064    -62.326600
      1.140797    -62.326400
      1.145531    -62.326300
      1.150264    -62.326200
      1.154998    -62.326100
      1.159732    -62.325900
      1.164465    -62.325800
      1.169199    -62.325700
      1.173932    -62.325500
      1.178666    -62.325400
      1.183400    -62.325300
      1.188133    -62.325200
      1.192867    -62.325000
      1.197600    -62.324900
      1.202334    -62.324800
      1.207068    -62.324700
      1.211801    -62.324600
      1.216535    -62.324400
      1.221268    -62.324300
      1.226002    -62.324200
      1.230735    -62.324100
      1.235469    -62.324000
      1.240203    -62.323900
      1.244936    -62.323800
      1.249670    -62.323700
      1.254403    -62.323600
      1.259137    -62.323500
      1.263871    -62.323400
      1.268604    -62.323300
      1.273338    -62.323200
      1.278071    -62.323100
      1.282805    -62.323000
      1.287539    -62.322900
      1.292272    -62.322800
      1.297006    -62.322700
      1.301739    -62.322700
      1.306473    -62.322600
      1.311207    -62.322500
      1.315940    -62.322400
      1.320674    -62.322400
      1.325407    -62.322300
      1.330141    -62.322200
      1.334875    -62.322200
      1.339608    -62.322100
      1.344342    -62.322100
      1.349075    -62.322000
      1.353809    -62.322000
      1.358543    -62.321900
      1.363276    -62.321900
      1.368010    -62.321800
      1.372743    -62.321800
      1.377477    -62.321800
      1.382211    -62.321700
      1.386944    -62.321700
      1.391678    -62.321700
      1.396411    -62.321700
      1.401145    -62.321700
      1.405879    -62.321700
      1.410612    -62.321600
      1.415346    -62.321600
      1.420079    -62.321600
      1.424819    -62.321600
      1.429558    -62.321600
      1.434297    -62.321700
      1.439036    -62.321700
      1.443775    -62.321700
      1.448515    -62.321700
      1.453254    -62.321700
      1.457993    -62.321700
      1.462732    -62.321800
      1.467472    -62.321800
      1.472211    -62.321800
      1.476950    -62.321900
      1.481689    -62.321900
      1.486428    -62.322000
      1.491168    -62.322000
      1.495907    -62.322100
      1.500646    -62.322100
      1.505385    -62.322200
      1.510124    -62.322300
      1.514864    -62.322300
      1.519603    -62.322400
      1.524342    -62.322500
      1.529081    -62.322500
      1.533820    -62.322600
      1.538560    -62.322700
