# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.6405
# k_min, k_max      =     0.0000    3.6470
# E_min, E_max      =   -62.8334  182.5192
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.833400
      0.004260    -62.833400
      0.008520    -62.833400
      0.012781    -62.833400
      0.017041    -62.833400
      0.021301    -62.833400
      0.025561    -62.833400
      0.029822    -62.833400
      0.034082    -62.833400
      0.038342    -62.833400
      0.042602    -62.833400
      0.046863    -62.833400
      0.051123    -62.833400
      0.055383    -62.833400
      0.059643    -62.833400
      0.063904    -62.833400
      0.068164    -62.833300
      0.072424    -62.833300
      0.076684    -62.833300
      0.080945    -62.833300
      0.085205    -62.833300
      0.089465    -62.833300
      0.093725    -62.833300
      0.097985    -62.833300
      0.102246    -62.833300
      0.106506    -62.833300
      0.110766    -62.833300
      0.115026    -62.833200
      0.119287    -62.833200
      0.123547    -62.833200
      0.127807    -62.833200
      0.132067    -62.833200
      0.136328    -62.833200
      0.140588    -62.833200
      0.144848    -62.833100
      0.149108    -62.833100
      0.153369    -62.833100
      0.157629    -62.833100
      0.161889    -62.833100
      0.166149    -62.833100
      0.170410    -62.833000
      0.174670    -62.833000
      0.178930    -62.833000
      0.183190    -62.833000
      0.187450    -62.833000
      0.191711    -62.832900
      0.195971    -62.832900
      0.200231    -62.832900
      0.204491    -62.832900
      0.208752    -62.832800
      0.213012    -62.832800
      0.217272    -62.832800
      0.221532    -62.832800
      0.225793    -62.832800
      0.230053    -62.832700
      0.234313    -62.832700
      0.238573    -62.832700
      0.242834    -62.832700
      0.247094    -62.832700
      0.251354    -62.832600
      0.255614    -62.832600
      0.259875    -62.832600
      0.264135    -62.832600
      0.268395    -62.832500
      0.272655    -62.832500
      0.276915    -62.832500
      0.281176    -62.832500
      0.285436    -62.832500
      0.289696    -62.832400
      0.293956    -62.832400
      0.298217    -62.832400
      0.302477    -62.832400
      0.306737    -62.832400
      0.310997    -62.832400
      0.315258    -62.832300
      0.319518    -62.832300
      0.323778    -62.832300
      0.328038    -62.832300
      0.332299    -62.832300
      0.336559    -62.832300
      0.340819    -62.832200
      0.345079    -62.832200
      0.349340    -62.832200
      0.353600    -62.832200
      0.357860    -62.832200
      0.362120    -62.832200
      0.366380    -62.832200
      0.370641    -62.832200
      0.374901    -62.832100
      0.379161    -62.832100
      0.383421    -62.832100
      0.387682    -62.832100
      0.391942    -62.832100
      0.396202    -62.832100
      0.400462    -62.832100
      0.404723    -62.832100
      0.408983    -62.832100
      0.413243    -62.832100
      0.417503    -62.832100
      0.421764    -62.832100
      0.426024    -62.832100
      0.430284    -62.832100
      0.434544    -62.832100
      0.438805    -62.832100
      0.443065    -62.832100
      0.447325    -62.832100
      0.451585    -62.832100
      0.455845    -62.832100
      0.460106    -62.832100
      0.464366    -62.832100
      0.468626    -62.832100
      0.472886    -62.832000
      0.477147    -62.832000
      0.481407    -62.832000
      0.485667    -62.832000
      0.489927    -62.832000
      0.494188    -62.832000
      0.498448    -62.832000
      0.502708    -62.832000
      0.506968    -62.832000
      0.511229    -62.831900
      0.515489    -62.831900
      0.519749    -62.831900
      0.524009    -62.831900
      0.528269    -62.831900
      0.532530    -62.831900
      0.536790    -62.831800
      0.541050    -62.831800
      0.545310    -62.831800
      0.549571    -62.831800
      0.553831    -62.831800
      0.558091    -62.831700
      0.562351    -62.831700
      0.566612    -62.831700
      0.570872    -62.831700
      0.575132    -62.831700
      0.579392    -62.831600
      0.583653    -62.831600
      0.587913    -62.831600
      0.592173    -62.831600
      0.596433    -62.831500
      0.600694    -62.831500
      0.604954    -62.831500
      0.609214    -62.831500
      0.613474    -62.831400
      0.617734    -62.831400
      0.621995    -62.831400
      0.626255    -62.831400
      0.630515    -62.831300
      0.634775    -62.831300
      0.639036    -62.831300
      0.643296    -62.831300
      0.647556    -62.831200
      0.651816    -62.831200
      0.656077    -62.831200
      0.660337    -62.831200
      0.664597    -62.831100
      0.668857    -62.831100
      0.673118    -62.831100
      0.677378    -62.831100
      0.681638    -62.831000
      0.685898    -62.831000
      0.690159    -62.831000
      0.694419    -62.831000
      0.698679    -62.830900
      0.702939    -62.830900
      0.707199    -62.830900
      0.711460    -62.830900
      0.715720    -62.830800
      0.719980    -62.830800
      0.724240    -62.830800
      0.728501    -62.830800
      0.732761    -62.830800
      0.737021    -62.830700
      0.741281    -62.830700
      0.745542    -62.830700
      0.749802    -62.830700
      0.754062    -62.830700
      0.758322    -62.830600
      0.762583    -62.830600
      0.766843    -62.830600
      0.771103    -62.830600
      0.775363    -62.830600
      0.779624    -62.830600
      0.783884    -62.830600
      0.788144    -62.830500
      0.792404    -62.830500
      0.796664    -62.830500
      0.800925    -62.830500
      0.805185    -62.830500
      0.809445    -62.830500
      0.813705    -62.830500
      0.817966    -62.830500
      0.822226    -62.830500
      0.826486    -62.830500
      0.830746    -62.830500
      0.835007    -62.830500
      0.839267    -62.830400
      0.843527    -62.830400
      0.847787    -62.830400
      0.852048    -62.830400
      0.856308    -62.830400
      0.860568    -62.830400
      0.864828    -62.830400
      0.869089    -62.830400
      0.873349    -62.830400
      0.877609    -62.830400
      0.881869    -62.830400
      0.886129    -62.830400
      0.890390    -62.830400
      0.894650    -62.830400
      0.898910    -62.830400
      0.903170    -62.830400
      0.907431    -62.830400
      0.911691    -62.830400
      0.915951    -62.830400
      0.920211    -62.830300
      0.924472    -62.830300
      0.928732    -62.830300
      0.932992    -62.830300
      0.937252    -62.830300
      0.941513    -62.830300
      0.945773    -62.830300
      0.950033    -62.830200
      0.954293    -62.830200
      0.958554    -62.830200
      0.962814    -62.830200
      0.967074    -62.830200
      0.971334    -62.830100
      0.975594    -62.830100
      0.979855    -62.830100
      0.984115    -62.830100
      0.988375    -62.830100
      0.992635    -62.830000
      0.996896    -62.830000
      1.001156    -62.830000
      1.005416    -62.830000
      1.009676    -62.829900
      1.013937    -62.829900
      1.018197    -62.829900
      1.022457    -62.829900
      1.026717    -62.829800
      1.030978    -62.829800
      1.035238    -62.829800
      1.039498    -62.829800
      1.043758    -62.829700
      1.048019    -62.829700
      1.052279    -62.829700
      1.056539    -62.829700
      1.060799    -62.829600
      1.065059    -62.829600
      1.069320    -62.829600
      1.073580    -62.829500
      1.077840    -62.829500
      1.082100    -62.829500
