# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.5260
# k_min, k_max      =     0.0000    4.1063
# E_min, E_max      =   -62.6621  208.9227
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -62.662100
      0.004797    -62.662100
      0.009594    -62.662100
      0.014391    -62.662100
      0.019187    -62.662100
      0.023984    -62.662000
      0.028781    -62.662000
      0.033578    -62.662000
      0.038375    -62.662000
      0.043172    -62.662000
      0.047969    -62.662000
      0.052765    -62.662000
      0.057562    -62.662000
      0.062359    -62.662000
      0.067156    -62.662000
      0.071953    -62.662000
      0.076750    -62.662000
      0.081547    -62.661900
      0.086343    -62.661900
      0.091140    -62.661900
      0.095937    -62.661900
      0.100734    -62.661900
      0.105531    -62.661900
      0.110328    -62.661800
      0.115125    -62.661800
      0.119921    -62.661800
      0.124718    -62.661800
      0.129515    -62.661800
      0.134312    -62.661700
      0.139109    -62.661700
      0.143906    -62.661700
      0.148703    -62.661700
      0.153500    -62.661600
      0.158296    -62.661600
      0.163093    -62.661600
      0.167890    -62.661600
      0.172687    -62.661500
      0.177484    -62.661500
      0.182281    -62.661500
      0.187078    -62.661400
      0.191874    -62.661400
      0.196671    -62.661400
      0.201468    -62.661300
      0.206265    -62.661300
      0.211062    -62.661300
      0.215859    -62.661300
      0.220656    -62.661200
      0.225452    -62.661200
      0.230249    -62.661200
      0.235046    -62.661100
      0.239843    -62.661100
      0.244640    -62.661100
      0.249437    -62.661000
      0.254234    -62.661000
      0.259030    -62.661000
      0.263827    -62.660900
      0.268624    -62.660900
      0.273421    -62.660900
      0.278218    -62.660800
      0.283015    -62.660800
      0.287812    -62.660800
      0.292608    -62.660700
      0.297405    -62.660700
      0.302202    -62.660700
      0.306999    -62.660700
      0.311796    -62.660600
      0.316593    -62.660600
      0.321390    -62.660600
      0.326186    -62.660600
      0.330983    -62.660500
      0.335780    -62.660500
      0.340577    -62.660500
      0.345374    -62.660500
      0.350171    -62.660400
      0.354968    -62.660400
      0.359764    -62.660400
      0.364561    -62.660400
      0.369358    -62.660400
      0.374155    -62.660400
      0.378952    -62.660300
      0.383749    -62.660300
      0.388546    -62.660300
      0.393343    -62.660300
      0.398139    -62.660300
      0.402936    -62.660300
      0.407733    -62.660300
      0.412530    -62.660300
      0.417327    -62.660300
      0.422124    -62.660300
      0.426921    -62.660300
      0.431717    -62.660300
      0.436514    -62.660300
      0.441311    -62.660300
      0.446108    -62.660300
      0.450905    -62.660300
      0.455702    -62.660300
      0.460499    -62.660300
      0.465295    -62.660300
      0.470092    -62.660300
      0.474889    -62.660300
      0.479686    -62.660300
      0.484483    -62.660300
      0.489280    -62.660300
      0.494077    -62.660300
      0.498873    -62.660300
