# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.4722
# k_min, k_max      =     0.0000    3.4733
# E_min, E_max      =   -63.1023  152.6701
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -63.102300
      0.004057    -63.102300
      0.008115    -63.102300
      0.012172    -63.102300
      0.016229    -63.102300
      0.020287    -63.102300
      0.024344    -63.102300
      0.028402    -63.102300
      0.032459    -63.102300
      0.036516    -63.102300
      0.040574    -63.102300
      0.044631    -63.102300
      0.048688    -63.102300
      0.052746    -63.102300
      0.056803    -63.102300
      0.060861    -63.102300
      0.064918    -63.102300
      0.068975    -63.102300
      0.073033    -63.102300
      0.077090    -63.102300
      0.081147    -63.102300
      0.085205    -63.102300
      0.089262    -63.102300
      0.093319    -63.102300
      0.097377    -63.102300
      0.101434    -63.102300
      0.105492    -63.102300
      0.109549    -63.102200
      0.113606    -63.102200
      0.117664    -63.102200
      0.121721    -63.102200
      0.125778    -63.102200
      0.129836    -63.102200
      0.133893    -63.102200
      0.137951    -63.102200
      0.142008    -63.102200
      0.146065    -63.102200
      0.150123    -63.102200
      0.154180    -63.102200
      0.158237    -63.102200
      0.162295    -63.102100
      0.166352    -63.102100
      0.170410    -63.102100
      0.174467    -63.102100
      0.178524    -63.102100
      0.182582    -63.102100
      0.186639    -63.102100
      0.190696    -63.102100
      0.194754    -63.102100
      0.198811    -63.102100
      0.202868    -63.102100
      0.206926    -63.102000
      0.210983    -63.102000
      0.215041    -63.102000
      0.219098    -63.102000
      0.223155    -63.102000
      0.227213    -63.102000
      0.231270    -63.102000
      0.235327    -63.102000
      0.239385    -63.102000
      0.243442    -63.102000
      0.247500    -63.102000
      0.251557    -63.101900
      0.255614    -63.101900
      0.259672    -63.101900
      0.263729    -63.101900
      0.267786    -63.101900
      0.271844    -63.101900
      0.275901    -63.101900
      0.279958    -63.101900
      0.284016    -63.101900
      0.288073    -63.101900
      0.292131    -63.101900
      0.296188    -63.101900
      0.300245    -63.101800
      0.304303    -63.101800
      0.308360    -63.101800
      0.312417    -63.101800
      0.316475    -63.101800
      0.320532    -63.101800
      0.324590    -63.101800
      0.328647    -63.101800
      0.332704    -63.101800
      0.336762    -63.101800
      0.340819    -63.101800
      0.344876    -63.101800
      0.348934    -63.101800
      0.352991    -63.101800
      0.357049    -63.101800
      0.361106    -63.101800
      0.365163    -63.101800
      0.369221    -63.101800
      0.373278    -63.101800
      0.377335    -63.101800
      0.381393    -63.101800
      0.385450    -63.101700
      0.389507    -63.101700
      0.393565    -63.101700
      0.397622    -63.101700
      0.401680    -63.101700
      0.405737    -63.101700
      0.409794    -63.101700
      0.413852    -63.101700
      0.417909    -63.101700
      0.421966    -63.101700
      0.426024    -63.101700
      0.430081    -63.101700
      0.434139    -63.101700
      0.438196    -63.101700
      0.442253    -63.101700
      0.446311    -63.101700
      0.450368    -63.101700
      0.454425    -63.101700
      0.458483    -63.101700
      0.462540    -63.101700
      0.466597    -63.101700
      0.470655    -63.101700
      0.474712    -63.101700
      0.478770    -63.101700
      0.482827    -63.101700
      0.486884    -63.101700
      0.490942    -63.101700
      0.494999    -63.101700
      0.499056    -63.101700
      0.503114    -63.101700
      0.507171    -63.101600
      0.511229    -63.101600
      0.515286    -63.101600
      0.519343    -63.101600
      0.523401    -63.101600
      0.527458    -63.101600
      0.531515    -63.101600
      0.535573    -63.101600
      0.539630    -63.101600
      0.543688    -63.101600
      0.547745    -63.101600
      0.551802    -63.101600
      0.555860    -63.101500
      0.559917    -63.101500
      0.563974    -63.101500
      0.568032    -63.101500
      0.572089    -63.101500
      0.576146    -63.101500
      0.580204    -63.101500
      0.584261    -63.101500
      0.588319    -63.101500
      0.592376    -63.101500
      0.596433    -63.101400
      0.600491    -63.101400
      0.604548    -63.101400
      0.608605    -63.101400
      0.612663    -63.101400
      0.616720    -63.101400
      0.620778    -63.101400
      0.624835    -63.101400
      0.628892    -63.101400
      0.632950    -63.101400
      0.637007    -63.101300
      0.641064    -63.101300
      0.645122    -63.101300
      0.649179    -63.101300
      0.653236    -63.101300
      0.657294    -63.101300
      0.661351    -63.101300
      0.665409    -63.101300
      0.669466    -63.101300
      0.673523    -63.101300
      0.677581    -63.101200
      0.681638    -63.101200
      0.685695    -63.101200
      0.689753    -63.101200
      0.693810    -63.101200
      0.697868    -63.101200
      0.701925    -63.101200
      0.705982    -63.101200
      0.710040    -63.101200
      0.714097    -63.101200
      0.718154    -63.101200
      0.722212    -63.101200
      0.726269    -63.101200
      0.730326    -63.101200
      0.734384    -63.101100
      0.738441    -63.101100
      0.742499    -63.101100
      0.746556    -63.101100
      0.750613    -63.101100
      0.754671    -63.101100
      0.758728    -63.101100
      0.762785    -63.101100
      0.766843    -63.101100
      0.770900    -63.101100
      0.774958    -63.101100
      0.779015    -63.101100
      0.783072    -63.101100
      0.787130    -63.101100
      0.791187    -63.101100
      0.795244    -63.101100
      0.799302    -63.101100
      0.803359    -63.101100
      0.807417    -63.101100
      0.811474    -63.101100
      0.815531    -63.101100
      0.819589    -63.101100
      0.823646    -63.101100
      0.827703    -63.101100
      0.831761    -63.101100
      0.835818    -63.101100
      0.839875    -63.101100
      0.843933    -63.101100
      0.847990    -63.101100
      0.852048    -63.101100
      0.856105    -63.101100
      0.860162    -63.101100
      0.864220    -63.101100
      0.868277    -63.101000
      0.872334    -63.101000
      0.876392    -63.101000
      0.880449    -63.101000
      0.884507    -63.101000
      0.888564    -63.101000
      0.892621    -63.101000
      0.896679    -63.101000
      0.900736    -63.101000
      0.904793    -63.101000
      0.908851    -63.101000
      0.912908    -63.101000
      0.916965    -63.101000
      0.921023    -63.100900
      0.925080    -63.100900
      0.929138    -63.100900
      0.933195    -63.100900
      0.937252    -63.100900
      0.941310    -63.100900
      0.945367    -63.100900
      0.949424    -63.100900
      0.953482    -63.100900
      0.957539    -63.100900
      0.961597    -63.100800
      0.965654    -63.100800
      0.969711    -63.100800
      0.973769    -63.100800
      0.977826    -63.100800
      0.981883    -63.100800
      0.985941    -63.100800
      0.989998    -63.100800
      0.994056    -63.100800
      0.998113    -63.100700
      1.002170    -63.100700
      1.006228    -63.100700
      1.010285    -63.100700
